table_name,column_name,column_order,data_type,n_rows,n_with_data,n_distinct,pct_with_data,est_rows_same_value,likely_pii,action
mdjs_case_data,otn,3,VARCHAR,938595,938460,938437,0.9998561679957809,1,FALSE,key
mdjs_docket_entry_data,docket_number,1,VARCHAR,7734697,7734697,967140,1,8,FALSE,key
mdjs_docket_entry_data,filed_date,3,DATE,7734697,7734697,4776,1,1619.49,FALSE,date
mdjs_docket_entry_data,filer,5,VARCHAR,7734697,7734697,296933,1,26.05,FALSE,other
mdjs_docket_entry_data,official_docket_entry,4,VARCHAR,7734697,7734697,136,1,56872.77,FALSE,other
mdjs_docket_entry_data,otn,2,VARCHAR,7734697,7733844,966979,0.9998897177226206,8,FALSE,key
mdjs_financial_data,adjusted_amount,6,DOUBLE,1341327,1341327,15986,1,83.91,FALSE,numeric
mdjs_financial_data,assessed_amount,5,DOUBLE,1341327,1341327,14362,1,93.39,FALSE,numeric
mdjs_financial_data,assessment_category,3,VARCHAR,1341327,1341327,4,1,335331.75,FALSE,group: <= 10
mdjs_financial_data,assessment_type,4,VARCHAR,1341327,1341327,147,1,9124.67,FALSE,other
mdjs_financial_data,balance,9,DOUBLE,1341327,1341327,1970,1,680.88,FALSE,numeric
mdjs_financial_data,docket_number,1,VARCHAR,1341327,1341327,233807,1,5.74,FALSE,key
mdjs_financial_data,non_monetary_payment_amount,7,DOUBLE,1341327,1341327,1,1,1341327,FALSE,drop: only one value
mdjs_financial_data,otn,2,VARCHAR,1341327,1341179,233774,0.9998896615068511,5.74,FALSE,key
mdjs_financial_data,payment_amount,8,DOUBLE,1341327,1341327,4841,1,277.08,FALSE,numeric
mdjs_offense_data,advised_of_his_right_to_apply_for_assignment_of_counsel,13,VARCHAR,2457249,2457249,2,1,1228624.5,FALSE,group: dichotomous
mdjs_offense_data,application_provided_for_appointment_of_public_defender,15,VARCHAR,2457249,2457249,2,1,1228624.5,FALSE,group: dichotomous
mdjs_offense_data,description,7,VARCHAR,2457249,2453536,4348,0.9984889606222243,564.29,FALSE,other
mdjs_offense_data,docket_number,1,VARCHAR,2457249,2457249,967142,1,2.54,FALSE,key
mdjs_offense_data,lead_offense_indicator,11,VARCHAR,2457249,2457249,2,1,1228624.5,FALSE,group: dichotomous
mdjs_offense_data,offense_date,8,DATE,2457249,2457249,5232,1,469.66,FALSE,date
mdjs_offense_data,offense_disposition,9,VARCHAR,2457249,2273317,20,0.9251471869558193,113665.85,FALSE,group: <= 30
mdjs_offense_data,offense_disposition_date,10,VARCHAR,2457249,2273288,159603,0.9251353851400489,14.24,FALSE,date
mdjs_offense_data,offense_grade,12,VARCHAR,2457249,2358940,18,0.959992251497508,131052.22,FALSE,group: <= 30
mdjs_offense_data,offense_sequence_number,3,DOUBLE,2457249,2457249,13568,1,181.11,FALSE,numeric
mdjs_offense_data,otn,2,VARCHAR,2457249,2452004,966981,0.9978654991822156,2.54,FALSE,key
mdjs_offense_data,public_defender_requested_by_the_defendant,14,VARCHAR,2457249,2457249,2,1,1228624.5,FALSE,group: dichotomous
mdjs_offense_data,section,5,VARCHAR,2457249,2452775,1244,0.9981792646980424,1971.68,FALSE,other
mdjs_offense_data,sub_section,6,VARCHAR,2457249,2330409,929,0.9483812995752567,2508.51,FALSE,other
mdjs_offense_data,title,4,VARCHAR,2457249,2452775,40,0.9981792646980424,61319.38,FALSE,other
